,car_name,engineSize,year,mileage,price,link
782,Ford Focus 1.5 EcoBlue 120 5 door Automatic Estate,1.5,2020,5413,18989,www.theaa.com/used-cars/cardetails/50-55414
783,FORD FOCUS 1.5 Ecoblue 120 Titanium 5Dr Auto,1.5,2020,2714,16399,www.theaa.com/used-cars/cardetails/23-101535
784,FORD FOCUS 2.0 Ecoblue Titanium X 5Dr Auto,2.0,2020,1131,18299,www.theaa.com/used-cars/cardetails/23-101533
785,FORD FOCUS 2.0 Ecoblue St-Line X 5Dr Auto,2.0,2020,7680,19999,www.theaa.com/used-cars/cardetails/23-101532
786,FORD FOCUS 2.0 Ecoblue St-Line X 5Dr Auto,2.0,2020,2082,20999,www.theaa.com/used-cars/cardetails/23-101527
787,Ford Focus 1.0 EcoBoost 125 Active X 5dr Petrol Estate,1.0,2020,13949,17000,www.theaa.com/used-cars/cardetails/39-946366
788,FORD FOCUS 1.0 ZETEC EDITION 5d 100 BHP,1.0,2018,20000,9799,www.theaa.com/used-cars/cardetails/59-663630
789,FORD FOCUS 1.5 Ecoblue 120 St-Line Nav 5Dr,1.5,2020,2408,17499,www.theaa.com/used-cars/cardetails/23-101363
790,Ford Focus 1.0 EcoBoost 125 ST-Line 5dr,1.0,2019,12650,14440,www.theaa.com/used-cars/cardetails/137-692007
791,Ford Focus 1.0 EcoBoost 125 Titanium 5dr Auto,1.0,2019,2481,15800,www.theaa.com/used-cars/cardetails/137-691952
